dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
2006,new,core,77.401,,,,
2006,new,food,13.885,13.7492,-0.1358,,
2006,new,energy,8.715,8.7059,-0.0091,,
2006,new,core_goods,21.735,21.8008,0.0658,,
2006,new,core_services,55.666,55.744,0.078,,
2006,new,commodities,40.305,40.4831,0.1781,,
2006,new,services,59.695,59.5169,-0.1781,,
2006,new,food_home,7.896,8.0051,0.1091,,
2006,new,food_away,5.989,5.7441,-0.2449,,
2006,new,energy_cmdty,4.685,4.692,0.007,,
2006,new,energy_svc,4.03,4.0139,-0.0161,,
2006,new,rent_shelter,32.407,32.3743,-0.0327,,
2006,new,svc_less_ros,27.288,27.1426,-0.1454,,
2007,new,headline,100.0,100.0,0.0,,
2007,new,core,76.469,,,,
2007,new,food,13.833,13.836,0.003,,
2007,new,energy,9.698,9.6975,-0.0005,,
2007,new,core_goods,21.602,21.6137,0.0117,,
2007,new,core_services,54.867,54.8527,-0.0143,,
2007,new,commodities,41.269,41.2715,0.0025,,
2007,new,services,58.731,58.7285,-0.0025,,
2007,new,food_home,7.66,7.6599,-0.0001,,
2007,new,food_away,6.173,6.1761,0.0031,,
2007,new,energy_cmdty,5.834,5.8337,-0.0003,,
2007,new,energy_svc,3.864,3.8639,-0.0001,,
2007,new,rent_shelter,32.271,32.2685,-0.0025,,
2007,new,svc_less_ros,26.46,26.46,0.0,,
2007,old,headline,100.0,100.0,0.0,100.0,0.0
2007,old,core,76.172,,,,
2007,old,food,13.995,13.8608,-0.1342,13.9975,0.0025
2007,old,energy,9.833,9.8236,-0.0094,9.8338,0.0008
2007,old,core_goods,20.902,20.963,0.061,20.8995,-0.0025
2007,old,core_services,55.27,55.351,0.081,55.273,0.003
2007,old,commodities,40.725,40.9139,0.1889,40.7339,0.0089
2007,old,services,59.275,59.0857,-0.1893,59.2625,-0.0125
2007,old,food_home,8.012,8.123,0.111,8.0122,0.0002
2007,old,food_away,5.983,5.7381,-0.2449,5.9827,-0.0003
2007,old,energy_cmdty,5.828,5.8349,0.0069,5.8262,-0.0018
2007,old,energy_svc,4.005,3.9891,-0.0159,4.0051,0.0001
2007,old,rent_shelter,32.119,32.0785,-0.0405,32.1109,-0.0081
2007,old,svc_less_ros,27.156,27.0058,-0.1502,27.1505,-0.0055
2008,new,headline,100.0,100.0,0.0,,
2008,new,core,77.746,,,,
2008,new,food,14.629,14.6144,-0.0146,,
2008,new,energy,7.624,7.6222,-0.0018,,
2008,new,core_goods,21.461,21.4693,0.0083,,
2008,new,core_services,56.285,56.2942,0.0092,,
2008,new,commodities,39.556,39.5633,0.0073,,
2008,new,services,60.444,60.4367,-0.0073,,
2008,new,food_home,8.156,8.147,-0.009,,
2008,new,food_away,6.474,6.4673,-0.0067,,
2008,new,energy_cmdty,3.465,3.4641,-0.0009,,
2008,new,energy_svc,4.159,4.1581,-0.0009,,
2008,new,rent_shelter,32.867,32.8598,-0.0072,,
2008,new,svc_less_ros,27.577,27.577,-0.0,,
